id,created_at,lng,lat,photos_count,checkins_count,users_count,radius_meters,highlights_count,items_count,max_items_count,spot_categories
1,2008-12-06T16:28:53Z,-94.60749865,39.05231831,0,114,21,35,0,10,10,"[{'url': '/categories/89', 'name': 'Craftsman'}]"
2,2008-12-13T02:16:51Z,-97.25435615,32.92766167,2,67,48,75,0,6,10,"[{'url': '/categories/17', 'name': 'BBQ'}]"
3,2008-12-14T22:08:39Z,-94.59199548,39.05331811,0,75,46,75,0,10,10,"[{'url': '/categories/103', 'name': 'Theatre'}]"
4,2008-12-15T00:22:49Z,-94.59031105,39.05282377,38,438,94,50,10,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
5,2008-12-16T23:14:05Z,-122.0296311,37.33188033,91,3100,1186,200,20,10,10,"[{'url': '/categories/121', 'name': 'Corporate Office'}]"
6,2008-12-18T22:45:09Z,-97.10600852,32.93943643,1,125,70,75,0,10,10,"[{'url': '/categories/452', 'name': 'Old Navy'}]"
7,2008-12-18T23:38:58Z,-97.13119983,32.94265508,5,335,146,75,0,10,10,"[{'url': '/categories/125', 'name': 'City Hall'}]"
8,2008-12-18T23:42:09Z,-97.13121325,32.94222209,8,196,101,50,0,10,10,"[{'url': '/categories/150', 'name': 'Fountain'}]"
9,2008-12-19T00:05:52Z,-97.2602208,32.8829309,9,221,102,75,0,10,10,"[{'url': '/categories/363', 'name': 'Chipotle'}]"
10,2008-12-19T18:07:23Z,-97.115691,32.940099,11,350,142,50,0,10,10,"[{'url': '/categories/903', 'name': 'Chick-fil-A'}]"
11,2008-12-23T22:42:59Z,-94.59473938,39.04105295,15,554,103,50,2,10,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
12,2008-12-23T22:58:21Z,-94.59440945,39.04102205,4,129,77,50,0,10,10,"[{'url': '/categories/35', 'name': 'Apparel'}]"
13,2008-12-25T02:49:24Z,-95.71580887,39.05177235,2,28,10,35,1,7,10,"[{'url': '/categories/21', 'name': 'Home'}]"
14,2008-12-26T00:44:38Z,-94.61162567,39.05007935,0,51,18,75,0,6,10,"[{'url': '/categories/18', 'name': 'Asian'}]"
15,2009-01-08T17:39:31Z,-94.60453748,39.0571153,0,45,27,75,0,9,10,"[{'url': '/categories/1', 'name': 'Coffee Shop'}]"
