place_id,lat,lng,name,location
1,36.63150787,-121.9120216,Pacific Ocean,"Seaside, CA"
2,40.6901729,-74.04549122,Refreshment Park,"New York, NY"
3,36.64202212,-93.2849121,Mickey Gilley Theatre,"Branson, MO"
4,36.64202212,-93.2849121,Mickey Gilley Theatre,"Branson, MO"
5,42.54887938,-82.90276765,Jaword,"Clinton, MI"
6,42.54887938,-82.90276765,Jaword,"Clinton, MI"
7,42.4412477,-82.90592193,Lax field,"Grosse Pointe, MI"
8,42.4412477,-82.90592193,Lax field,"Grosse Pointe, MI"
9,42.4647653,-82.89740323,Harper Sports,"St. Clair Shores, MI"
10,42.4647653,-82.89740323,Harper Sports,"St. Clair Shores, MI"
11,42.46345638,-82.89907693,St Pauls,"St. Clair Shores, MI"
12,42.46345638,-82.89907693,St Pauls,"St. Clair Shores, MI"
13,54.40022087,-0.71573685,Goathland,Goathland
14,54.40022087,-0.71573685,Goathland,Goathland
15,37.76195168,-84.84749793,Fort Harrod Statr Park,"Harrodsburg, KY"
16,37.69148468,-85.23304938,McDonald's Springfield,"Springfield, KY"
17,52.3106915,-114.100868,Wild Rapids Waterslide,Sylvan Lake
18,52.3106915,-114.100868,Wild Rapids Waterslide,Sylvan Lake
19,52.31153312,-114.105488,Lakeside Go-Karts & Mini Golf,Sylvan Lake
20,52.31153312,-114.105488,Lakeside Go-Karts & Mini Golf,Sylvan Lake
21,52.3123477,-114.0911022,More Moo,Sylvan Lake
22,52.3123477,-114.0911022,More Moo,Sylvan Lake
23,52.30880115,-114.0968362,Cobb's Foods,Sylvan Lake
24,52.30880115,-114.0968362,Cobb's Foods,Sylvan Lake
25,52.30847138,-114.0940575,Sylvan Lake Municipal Library,Sylvan Lake
26,52.30847138,-114.0940575,Sylvan Lake Municipal Library,Sylvan Lake
27,36.82837761,-84.86330152,Wayne Co HS football field,"Monticello, KY"
28,36.82837761,-84.86330152,Wayne Co HS football field,"Monticello, KY"
29,37.5734188,-77.54134915,Lora Robins Court,VA
30,37.5734188,-77.54134915,Lora Robins Court,VA
31,37.57490243,-77.54223328,Gray Court,VA
32,37.57490243,-77.54223328,Gray Court,VA
33,37.57535242,-77.54347203,North Court,VA
34,37.57535242,-77.54347203,North Court,VA
35,37.57502,-77.54380215,South Court,VA
36,37.57502,-77.54380215,South Court,VA
37,37.57438443,-77.54318847,Keller Hall,VA
38,37.57438443,-77.54318847,Keller Hall,VA
39,37.57431563,-77.54264403,The Clinton Webb Arts Tower,VA
40,37.57431563,-77.54264403,The Clinton Webb Arts Tower,VA
41,37.57402007,-77.54348247,Crenshaw Field,VA
42,37.57402007,-77.54348247,Crenshaw Field,VA
43,37.57522023,-77.54029315,D-Hall,VA
44,37.57522023,-77.54029315,D-Hall,VA
